gvkey,datadate,fyear,indfmt,consol,popsrc,datafmt,tic,cusip,conm,curcd,fyr,act,at,ebit,ebitda,epspi,epspx,lt,ni,niadj,nits,opiti,pstk,pstkl,pstkrv,spce,spceeps,txditc,upstk,exchg,costat,ein,fyrc,idbflag,incorp,loc,sic,spcindcd,spcseccd
1449,31/12/2014,2014,FS,C,D,STD,AFL,1055102,AFLAC INC,USD,12,,119767,,,,,101420,,,2400,2797,0,,,,,,,11,A,58-1167100,12,B,GA,USA,6321,825,800
1449,31/12/2014,2014,INDL,C,D,STD,AFL,1055102,AFLAC INC,USD,12,,119767,4808,4855,6.54,6.54,101420,2951,2951,,,0,0,0,,,4350,,11,A,58-1167100,12,B,GA,USA,6321,825,800
1449,31/12/2015,2015,FS,C,D,STD,AFL,1055102,AFLAC INC,USD,12,,118296,,,,,100588,,,2300,2670,0,,,,,,,11,A,58-1167100,12,B,GA,USA,6321,825,800
1449,31/12/2015,2015,INDL,C,D,STD,AFL,1055102,AFLAC INC,USD,12,,118296,4413,4457,5.88,5.88,100588,2533,2533,,,0,0,0,,,3438,,11,A,58-1167100,12,B,GA,USA,6321,825,800
1449,31/12/2016,2016,FS,C,D,STD,AFL,1055102,AFLAC INC,USD,12,,129819,,,,,109337,,,2800,2812,0,,,,,,,11,A,58-1167100,12,B,GA,USA,6321,825,800
1449,31/12/2016,2016,INDL,C,D,STD,AFL,1055102,AFLAC INC,USD,12,,129819,4287,4335,6.46,6.46,109337,2659,2659,,,0,0,0,,,5056,,11,A,58-1167100,12,B,GA,USA,6321,825,800
1449,31/12/2017,2017,FS,C,D,STD,AFL,1055102,AFLAC INC,USD,12,,137217,,,,,112619,,,2600,2716,0,,,,,,,11,A,58-1167100,12,B,GA,USA,6321,825,800
1449,31/12/2017,2017,INDL,C,D,STD,AFL,1055102,AFLAC INC,USD,12,,137217,4346,4396,11.63,11.63,112619,4604,4604,,,0,0,0,,,4569,,11,A,58-1167100,12,B,GA,USA,6321,825,800
1449,31/12/2018,2018,FS,C,D,STD,AFL,1055102,AFLAC INC,USD,12,,140406,,,,,116944,,,1300,3226,0,,,,,,,11,A,58-1167100,12,B,GA,USA,6321,825,800
1449,31/12/2018,2018,INDL,C,D,STD,AFL,1055102,AFLAC INC,USD,12,,140406,4290,4770,3.79,3.79,116944,2920,2920,,,0,0,0,,,3497,,11,A,58-1167100,12,B,GA,USA,6321,825,800
1487,31/12/2013,2013,FS,C,D,STD,AIG,26874784,AMERICAN INTERNATIONAL GROUP,USD,12,,541329,,,,,440218,,,16182,10112,0,,,,,,,11,A,13-2592361,12,B,DE,USA,6331,830,800
1487,31/12/2013,2013,INDL,C,D,STD,AIG,26874784,AMERICAN INTERNATIONAL GROUP,USD,12,,541329,11171,15884,6.16,6.11,440218,9085,9085,,,0,0,0,,,732,,11,A,13-2592361,12,B,DE,USA,6331,830,800
1487,31/12/2014,2014,FS,C,D,STD,AIG,26874784,AMERICAN INTERNATIONAL GROUP,USD,12,,515581,,,,,408309,,,6067,9984,0,,,,,,,11,A,13-2592361,12,B,DE,USA,6331,830,800
1487,31/12/2014,2014,INDL,C,D,STD,AIG,26874784,AMERICAN INTERNATIONAL GROUP,USD,12,,515581,10902,15350,5.27,5.31,408309,7529,7529,,,0,0,0,,,594,,11,A,13-2592361,12,B,DE,USA,6331,830,800
1487,31/12/2015,2015,FS,C,D,STD,AIG,26874784,AMERICAN INTERNATIONAL GROUP,USD,12,,496943,,,,,406733,,,3874,5030,0,,,,,,,11,A,13-2592361,12,B,DE,USA,6331,830,800
1487,31/12/2015,2015,INDL,C,D,STD,AIG,26874784,AMERICAN INTERNATIONAL GROUP,USD,12,,496943,5136,9765,1.69,1.69,406733,2196,2196,,,0,0,0,,,437,,11,A,13-2592361,12,B,DE,USA,6331,830,800
1487,31/12/2016,2016,FS,C,D,STD,AIG,26874784,AMERICAN INTERNATIONAL GROUP,USD,12,,498264,,,,,421406,,,2023,1415,0,,,,,,,11,A,13-2592361,12,B,DE,USA,6331,830,800
1487,31/12/2016,2016,INDL,C,D,STD,AIG,26874784,AMERICAN INTERNATIONAL GROUP,USD,12,,498264,2738,6828,-0.78,-0.7,421406,-849,-849,,,0,0,0,,,620,,11,A,13-2592361,12,B,DE,USA,6331,830,800
1487,31/12/2017,2017,FS,C,D,STD,AIG,26874784,AMERICAN INTERNATIONAL GROUP,USD,12,,498301,,,,,432593,,,310,3158,0,,,,,,,11,A,13-2592361,12,B,DE,USA,6331,830,800
1487,31/12/2017,2017,INDL,C,D,STD,AIG,26874784,AMERICAN INTERNATIONAL GROUP,USD,12,,498301,2518,6392,-6.54,-6.54,432593,-6084,-6084,,,0,0,0,,,220,,11,A,13-2592361,12,B,DE,USA,6331,830,800
1487,31/12/2018,2018,FS,C,D,STD,AIG,26874784,AMERICAN INTERNATIONAL GROUP,USD,12,,491984,,,,,434675,,,-465,1409,0,,,,,,,11,A,13-2592361,12,B,DE,USA,6331,830,800
1487,31/12/2018,2018,INDL,C,D,STD,AIG,26874784,AMERICAN INTERNATIONAL GROUP,USD,12,,491984,2225,7587,-0.01,0.04,434675,-6,-6,,,0,0,0,,,169,,11,A,13-2592361,12,B,DE,USA,6331,830,800
